,1,0
0,0,0
1,1,1
2,1,0
3,0,1
4,0,1
5,0,1
6,1,1
7,0,0
8,0,1
9,0,1
10,0,1
11,1,0
12,1,1
13,1,1
14,0,0
15,0,1
16,1,1
17,0,0
18,0,1
19,0,1
20,1,0
21,0,1
22,0,1
23,0,0
24,0,1
25,0,1
26,1,0
27,1,1
28,0,1
29,1,0
30,0,1
31,1,1
32,1,0
33,1,0
34,0,1
35,0,1
36,0,1
37,1,1
38,0,0
39,0,1
40,0,1
41,0,0
42,0,0
43,0,1
44,0,1
45,0,1
46,0,1
47,1,0
48,1,0
49,0,1
50,1,1
51,0,1
52,0,0
53,1,0
54,1,1
55,1,0
56,0,0
57,0,1
58,0,1
59,0,1
60,0,0
61,1,0
62,1,1
63,0,1
64,0,1
65,0,0
66,0,1
67,1,1
68,0,1
69,1,1
70,0,0
71,1,1
72,0,1
73,0,0
74,1,0
75,1,0
76,1,1
77,1,1
78,0,1
79,0,0
80,0,1
81,1,0
82,0,1
83,0,1
84,0,0
85,0,1
86,0,1
87,0,1
88,1,1
89,0,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,0,1
96,1,0
97,0,1
98,0,1
99,1,1
100,1,0
101,0,1
102,0,1
103,0,0
104,1,1
105,1,1
106,0,1
107,0,0
108,0,1
109,0,1
110,0,1
111,0,0
112,0,1
113,1,1
114,1,0
115,1,0
116,1,0
117,0,1
118,0,1
119,0,1
120,1,1
121,1,1
122,0,0
123,0,1
124,1,0
125,1,1
126,0,1
127,0,1
128,0,1
129,0,1
130,1,0
131,0,1
132,1,1
133,0,1
134,0,1
135,1,1
136,0,1
137,0,1
138,1,1
139,1,0
140,0,1
141,1,1
142,1,1
143,0,1
144,0,1
145,1,1
146,0,1
147,1,1
148,0,1
149,0,0
150,0,1
151,0,1
152,1,1
153,0,1
154,0,0
155,0,1
156,0,1
157,1,0
158,1,0
159,0,1
160,1,0
161,0,1
162,1,0
163,0,0
164,1,0
165,0,1
166,1,0
167,0,1
168,1,1
169,0,1
170,0,1
171,1,1
172,0,0
173,0,1
174,0,1
175,1,1
176,0,1
177,0,1
178,0,0
179,0,1
180,0,1
181,1,0
182,1,1
183,1,1
184,0,1
185,0,1
186,0,0
187,1,1
188,0,0
189,1,1
190,0,1
191,0,1
192,0,1
193,1,0
194,1,1
195,0,1
196,1,0
197,1,1
198,1,0
199,0,1
200,0,1
201,0,1
202,0,1
203,1,0
204,0,1
205,1,0
206,0,1
207,0,1
208,0,1
209,0,1
210,1,1
211,0,1
212,0,0
213,0,0
214,1,0
215,1,1
216,0,1
217,0,1
218,1,1
219,0,1
220,0,1
221,0,1
222,1,1
223,1,1
224,0,1
225,1,1
226,0,1
227,0,1
228,0,1
229,0,0
230,0,0
231,1,0
232,0,0
233,1,1
234,1,1
235,0,1
236,1,0
237,1,1
238,0,1
239,0,1
240,0,1
241,0,0
242,1,1
243,1,0
244,0,1
245,0,1
246,0,1
247,1,1
248,0,1
249,0,0
250,0,1
251,1,0
252,1,1
253,0,1
254,0,0
255,1,0
256,0,1
257,0,1
258,0,1
259,0,1
260,0,0
261,0,0
262,0,0
263,0,1
264,1,1
265,0,1
266,0,1
267,0,1
268,0,0
269,0,1
270,0,1
271,0,1
272,0,1
273,1,0
274,0,1
275,1,1
276,0,1
277,0,1
278,0,1
279,0,1
280,1,0
281,0,1
282,0,1
283,1,0
284,0,1
285,0,1
286,0,0
287,0,0
288,0,0
289,0,0
290,0,1
291,0,0
292,0,1
293,0,1
294,1,1
295,0,1
296,0,1
297,0,0
298,0,0
299,0,1
300,1,1
301,1,1
302,0,1
303,1,1
304,0,1
305,0,1
306,0,1
307,0,1
308,0,1
309,0,1
310,0,1
311,0,1
312,0,1
313,0,0
314,0,1
315,0,1
316,0,1
317,0,1
318,1,1
319,1,0
320,0,0
321,1,0
322,0,1
323,0,1
324,1,0
325,0,1
326,0,1
327,0,1
328,0,1
329,0,1
330,0,1
331,1,0
332,0,1
333,0,1
334,0,1
335,0,1
336,0,1
337,1,0
338,0,1
339,0,0
340,0,0
341,1,1
342,0,1
343,0,1
344,0,1
345,0,1
346,0,0
347,1,0
348,0,1
349,1,1
350,0,1
351,1,1
352,1,0
353,0,1
354,0,1
355,0,1
356,0,0
357,0,1
358,1,0
359,0,1
360,1,1
361,1,0
362,1,1
363,0,1
364,0,1
365,1,0
366,0,0
367,0,1
368,1,1
369,0,1
370,0,1
371,0,1
372,1,1
373,1,1
374,1,0
375,0,1
376,0,1
377,1,1
378,1,1
379,0,1
380,0,1
381,0,1
382,1,1
383,0,1
384,0,1
385,0,1
386,0,1
387,0,1
388,0,1
389,1,0
390,0,1
391,0,1
392,0,1
393,0,1
394,0,1
395,1,0
396,0,1
397,1,1
398,0,1
399,0,1
400,0,1
401,1,0
402,0,1
403,0,1
404,0,1
405,1,0
406,1,0
407,0,1
408,1,1
409,0,1
410,0,1
411,0,1
412,0,1
413,1,1
414,1,1
415,1,0
416,1,1
417,0,1
418,0,1
419,1,0
420,0,1
421,0,1
422,0,1
423,1,0
424,0,1
425,0,0
426,0,1
427,0,1
428,0,0
429,0,1
430,1,0
431,0,1
432,1,1
433,1,0
434,0,1
435,0,1
436,0,1
437,0,1
438,0,0
439,0,0
440,1,0
441,0,1
442,0,0
443,1,0
444,0,1
445,0,0
446,1,0
447,0,0
448,0,1
449,0,1
450,0,1
451,0,1
452,0,0
453,0,1
454,0,1
455,0,0
456,0,1
457,1,1
458,1,0
459,0,1
460,0,1
461,0,0
462,0,1
463,0,1
464,0,1
465,0,1
466,1,0
467,0,1
468,0,0
469,0,1
470,1,0
471,0,1
472,1,0
473,0,1
474,0,1
475,0,1
476,0,1
477,0,1
478,0,1
479,0,1
480,0,1
481,0,1
482,0,1
483,1,0
484,0,1
485,0,1
486,0,1
487,0,1
488,0,1
489,0,1
490,0,0
491,0,1
492,0,1
493,0,1
494,0,0
495,0,1
496,0,1
497,1,1
498,0,1
499,0,0
500,1,0
501,0,1
502,0,0
503,1,1
504,0,1
505,0,1
506,0,1
507,0,1
508,1,0
509,0,1
510,1,0
511,0,1
512,1,0
513,1,1
514,1,1
515,0,1
516,0,1
517,0,1
518,0,1
519,0,1
520,0,1
521,0,0
522,0,1
523,0,0
524,0,1
525,0,1
526,0,1
527,0,1
528,0,1
529,0,1
530,1,1
531,1,1
532,0,1
533,0,1
534,1,1
535,0,1
536,1,0
537,1,1
538,0,1
539,0,0
540,1,0
541,0,0
542,0,0
543,1,1
544,0,0
545,1,1
546,0,1
547,0,1
548,0,1
549,1,1
550,1,1
551,1,1
552,0,0
553,0,1
554,1,0
555,0,1
556,1,0
557,0,0
558,1,1
559,1,1
560,0,1
561,0,1
562,1,1
563,0,1
564,0,0
565,0,1
566,1,0
567,0,0
568,1,1
569,0,1
570,0,0
571,0,0
572,1,1
573,0,1
574,0,1
575,0,1
576,1,0
577,0,1
578,0,1
579,1,1
580,1,0
581,1,0
582,1,0
583,0,1
584,0,1
585,0,1
586,0,1
587,1,1
588,1,0
589,0,1
590,0,0
591,0,1
592,0,1
593,1,1
594,1,0
595,0,1
596,0,1
597,0,0
598,1,1
599,0,1
600,1,1
601,0,1
602,0,1
603,1,1
604,0,1
605,0,1
606,0,1
607,0,1
608,0,1
609,1,0
610,0,1
611,0,1
612,1,0
613,1,1
614,0,1
615,0,1
616,0,1
617,1,0
618,0,1
619,0,1
620,0,1
621,1,1
622,1,1
623,1,0
624,0,1
625,1,0
626,0,1
627,0,1
628,1,0
629,1,0
630,1,1
631,0,0
632,0,1
633,0,1
