,1,0
0,0,1
1,0,1
2,0,0
3,0,1
4,1,1
5,0,0
6,0,1
7,1,1
8,0,1
9,0,0
10,0,1
11,0,0
12,0,1
13,0,0
14,0,1
15,0,0
16,0,0
17,0,0
18,1,0
19,1,0
20,1,0
21,1,0
22,0,0
23,1,0
24,1,0
25,0,1
26,0,0
27,0,0
28,1,1
29,1,0
30,0,1
31,0,1
32,0,1
33,0,0
34,1,1
35,1,1
36,0,0
37,0,0
38,1,0
39,0,1
40,0,0
41,0,0
42,0,0
43,1,1
44,1,0
45,0,0
46,0,0
47,1,0
48,0,0
49,0,1
50,0,0
51,0,0
52,0,0
53,0,0
54,1,0
55,0,0
56,0,0
57,0,1
58,0,1
59,0,1
60,1,0
61,1,0
62,1,0
63,0,0
64,1,0
65,1,0
66,0,0
67,1,0
68,0,0
69,1,0
70,0,1
71,0,1
72,0,0
73,0,0
74,1,1
75,1,0
76,1,0
77,1,0
78,1,0
79,1,0
80,0,1
81,1,0
82,1,0
83,0,1
84,0,1
85,0,0
86,0,0
87,1,0
88,0,0
89,0,1
90,0,0
91,0,0
92,1,0
93,1,0
94,1,0
95,0,0
96,1,0
97,0,1
98,0,0
99,0,0
100,0,1
101,1,0
102,0,1
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,1,1
110,0,0
111,1,0
112,1,1
113,0,0
114,0,0
115,0,0
116,0,1
117,1,0
118,0,0
119,0,1
120,0,0
121,0,0
122,1,1
123,1,0
124,0,0
125,0,0
126,0,0
127,1,0
128,0,1
129,0,0
130,0,1
131,0,0
132,0,1
133,0,0
134,0,0
135,0,1
136,1,0
137,0,0
138,1,1
139,0,1
140,0,0
141,0,0
142,1,0
143,0,1
144,0,1
145,0,0
146,0,0
147,0,0
148,1,0
149,0,0
150,1,0
151,1,1
152,0,0
153,0,0
154,0,1
155,0,0
156,0,0
157,0,1
158,0,1
159,0,0
160,0,0
161,0,0
162,0,0
163,0,1
164,1,0
165,0,0
166,0,1
167,0,1
168,0,1
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,1
176,0,0
177,0,0
178,0,1
179,1,0
180,1,0
181,0,0
182,1,0
183,1,0
184,0,1
185,0,1
186,0,0
187,0,0
188,0,0
189,1,1
190,0,1
191,0,0
192,1,0
193,0,1
194,0,1
195,1,0
196,0,0
197,0,0
198,0,0
199,0,1
200,0,0
201,0,0
202,1,0
203,1,1
204,1,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,1,0
214,0,0
215,0,1
216,0,0
217,1,1
218,1,1
219,1,0
220,0,0
221,0,1
222,0,1
223,1,0
224,0,0
225,1,0
226,0,0
227,1,0
228,0,0
229,0,0
230,0,0
231,0,1
232,0,0
233,0,0
234,1,0
235,0,0
236,1,0
237,0,0
238,0,0
239,0,1
240,0,0
241,0,1
242,0,0
243,1,0
244,0,0
245,1,0
246,1,0
247,0,0
248,0,0
249,0,0
250,0,1
251,0,0
252,0,1
253,1,0
254,0,0
255,0,1
256,0,0
257,1,0
258,0,0
259,1,0
260,1,0
261,0,1
262,0,1
263,0,0
264,0,0
265,1,0
266,0,0
267,0,1
268,0,1
269,1,1
270,1,0
271,0,0
272,1,0
273,0,1
274,1,0
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
280,1,1
281,0,0
282,0,1
283,0,0
284,0,1
285,0,0
286,0,0
287,0,0
288,0,1
289,0,1
290,1,0
291,0,0
292,0,1
293,0,0
294,1,0
295,0,1
296,1,0
297,1,0
298,0,1
299,1,1
300,1,0
301,1,0
302,0,1
303,1,0
304,0,1
305,0,0
306,0,0
307,0,1
308,1,1
309,0,1
310,0,1
311,0,1
312,1,0
313,1,0
314,0,0
315,0,1
316,0,1
317,1,0
318,0,1
319,0,0
320,0,1
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,1,0
327,1,0
328,0,0
329,1,0
330,0,1
331,0,0
332,1,0
333,0,0
334,0,0
335,1,0
336,1,1
337,0,0
338,1,0
339,0,0
340,0,0
341,1,0
342,0,0
343,1,0
344,0,1
345,0,0
346,0,0
347,0,0
348,0,1
349,0,0
350,1,0
351,1,0
352,0,1
353,0,0
354,0,0
355,0,0
356,0,1
357,1,1
358,0,1
359,0,1
360,1,0
361,1,0
362,1,1
363,0,0
364,0,0
365,0,0
366,1,0
367,0,0
368,0,0
369,0,0
370,0,1
371,1,0
372,1,0
373,0,0
374,1,0
375,0,1
376,0,1
377,1,1
378,0,0
379,1,0
380,1,1
381,1,0
382,0,1
383,1,0
384,1,0
385,1,0
386,1,1
387,0,0
388,0,0
389,0,0
390,1,1
391,0,0
392,0,0
393,1,0
394,1,1
395,0,0
396,0,1
397,1,1
398,0,0
399,1,0
400,0,1
401,0,1
402,0,1
403,0,0
404,0,0
405,0,0
406,1,1
407,0,1
408,0,0
409,1,0
410,1,1
411,0,0
412,0,1
413,1,0
414,0,0
415,0,0
416,0,1
417,0,0
